2023-05-21 12:17:40,041 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Configure stats pid to 11185
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Loading settings from /Users/tam/.config/wandb/settings
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Loading settings from /Users/tam/Documents/thesis/thesis_rl/wandb/settings
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'agent/sb3.py', 'program': 'agent/sb3.py'}
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:_log_setup():507] Logging user logs to /Users/tam/Documents/thesis/thesis_rl/wandb/run-20230521_121740-40vfiawn/logs/debug.log
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/tam/Documents/thesis/thesis_rl/wandb/run-20230521_121740-40vfiawn/logs/debug-internal.log
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:init():547] calling init triggers
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'policy_type': 'MlpPolicy', 'total_timesteps': 50000, 'env_name': 'market-maker-v0', 'symbol': 'XBTUSD', 'fitting_file': 'XBTUSD_20200101_20200102_merge.csv.xz', 'testing_file': 'XBTUSD_2020-01-03.csv.xz', 'max_position': 10.0, 'window_size': 100, 'seed': 1, 'action_repeats': 5, 'training': True, 'format_3d': False, 'reward_type': 'trade_completion', 'transaction_fee': True}
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:init():596] starting backend
2023-05-21 12:17:40,042 INFO    MainThread:11185 [wandb_init.py:init():600] setting up manager
